Establishment_id,Name,Category,City,State,Zip,Address_line_1,Address_line_2,Owner,Type,Latitude,Longitude
2093,NY QUALITY SEAFOOD,Carry-out,FORT WASHINGTON,MD,20744.0,7500 ALLENTOWN RD,------,KWANG KWAK,Food Establishments,38.787158,-76.938816
2094,MEDI MARKET AND KITCHEN,Grocery Store,MOUNT RAINIER,MD,20712.0,3233 RHODE ISLAND AVE,------,ALEX BERY,Food Establishments,38.935671,-76.962269
2095,ONE STOP INTERNATIONAL MARKET,Grocery Store,LANHAM,MD,20706.0,7705 ANNAPOLIS RD,------,Vincent Chukwuocha,Food Establishments,38.952547,-76.878982
2097,OUR SAVIORS EVANGELICAL LUTHERAN CHURCH,Church/Temple/Mosque,TEMPLE HILLS,MD,20748.0,4915 ST BARNABAS RD,------,MARY ANN HORD,Food Establishments,38.821425,-76.955922
2098,OXON HILL CITGO,Gas Station Store,OXON HILL,MD,20745.0,6104 OXON HILL RD,------,ASHISH THAKORE,Food Establishments,38.805484,-76.974389
2099,OXON HILL MIDDLE SCHOOL,Public School,FORT WASHINGTON,MD,20744.0,9570 FORT FOOTE RD,------,MARK FOSSETT,Food Establishments,38.7607,-77.012397
2100,PAINT BRANCH GOLF COMPLEX,Snack Bar/Concession Stand,COLLEGE PARK,MD,20740.0,4690 UNIVERSITY BLVD,------,STEVE CARTER,Food Establishments,39.001406,-76.93444
2101,PAPA JOHNS 727,Carry-out,GREENBELT,MD,20770.0,8857 GREENBELT RD,------,Annie Berkovicz,Food Establishments,38.990899,-76.852614
2102,PAPA JOHNS 845,Carry-out,NEW CARROLLTON,MD,20784.0,8445 ANNAPOLIS RD,------,Annie Berkovicz,Food Establishments,38.957383,-76.869821
2103,PAPA JOHNS 728,Carry-out,BOWIE,MD,20715.0,6852 RACE TRACK RD,------,Annie Berkovicz,Food Establishments,38.983881,-76.729269
2104,PAPA JOHNS 245,Carry-out,COLLEGE PARK,MD,20740.0,4509 COLLEGE AVE,------,Annie Berkovicz,Food Establishments,38.981957,-76.937072
2105,PAPA JOHNS 712,Carry-out,BELTSVILLE,MD,20705.0,11000 BALTIMORE AVE,------,Annie Berkovicz,Food Establishments,39.033967,-76.908657
